問題,學校平均值
我認同 KIST 的願景：給孩子公平發展天賦的舞台,3.91
我理解且認同以下的 KIST 核心價值 - 當責態度（① 當責始終在我 ② 遇到問題，不究責諉過，致力於找出更好的方法 ③ 持續對學生、家人與同事做出重要承諾）,3.61
我理解且認同以下的 KIST 核心價值 - 成長心態（① 所有人都可以並願意學習 ② 持續致力於成為更好的人 ③ 挫敗是寶藏，淘洗出金塊來）,3.67
我理解且認同以下的 KIST 核心價值 - 團隊協作（① 發揮打群架的精神 ② KIST 是團隊、也是家人 ③ 透過協作創新、用全村力量辦學）,3.62
我理解且認同以下的 KIST 核心價值 - 誠信正直（① 用愛心說真話 ② 秉持當事人原則 ③ 以學生最佳利益為中心的決策 / 以身作則，說的等於做的）,3.64
我理解且認同以下的 KIST 核心價值 - 多元包容（① 差異是力量的來源 ② 積極傾聽、善意溝通 ③ 公平、多元、包容、創造幸福）,3.68
我理解且認同以下的 KIST 核心價值 - 健康幸福（① 健康第一、家庭第二、樂在工作 ② 時時保持情緒與心理的更新 ③ 從工作中產生意義與樂趣）,3.74
整體而言，我對於 KIST 聯盟提供的支持與發展資源感到滿意,3.56
我有具體實踐以下的 KIST 核心價值 - 當責態度（① 當責始終在我 ② 遇到問題，不究責諉過，致力於找出更好的方法 ③ 持續對學生、家人與同事做出重要承諾）,3.45
我有具體實踐以下的 KIST 核心價值 - 成長心態（① 所有人都可以並願意學習 ② 持續致力於成為更好的人 ③ 挫敗是寶藏，淘洗出金塊來）,3.44
我有具體實踐以下的 KIST 核心價值 - 團隊協作（① 發揮打群架的精神 ② KIST 是團隊、也是家人 ③ 透過協作創新、用全村力量辦學）,3.40
我有具體實踐以下的 KIST 核心價值 - 誠信正直（① 用愛心說真話 ② 秉持當事人原則 ③ 以學生最佳利益為中心的決策 / 以身作則，說的等於做的）,3.37
我有具體實踐以下的 KIST 核心價值 - 多元包容（① 差異是力量的來源 ② 積極傾聽、善意溝通 ③ 公平、多元、包容、創造幸福）,3.47
我有具體實踐以下的 KIST 核心價值 - 健康幸福（① 健康第一、家庭第二、樂在工作 ② 時時保持情緒與心理的更新 ③ 從工作中產生意義與樂趣）,3.11
我理解且認同以下的 KIST 教學特色 - 嚴謹教學循環（SEAMS）,3.34
我理解且認同以下的 KIST 教學特色 - 卓越教學架構,3.18
我理解且認同以下的 KIST 教學特色 - 社交與情緒學習 SEL,3.69
我理解且認同以下的 KIST 教學特色 - 品格鍛鍊,3.61
我理解且認同以下的 KIST 教學特色 - 專題與探究學習 PBL,3.51
我理解且認同以下的 KIST 教學特色 - 個人化學習,3.31
我理解且認同以下的 KIST 教學特色 - 文化相關教育學 CRP,2.71
我理解且認同以下的 KIST 教學特色 - 永續發展目標 SDGs,3.39
我已將以下 KIST 教學特色運用於日常教學工作 - 嚴謹教學循環（SEAMS）,3.00
我已將以下 KIST 教學特色運用於日常教學工作 - 卓越教學架構,2.89
我已將以下 KIST 教學特色運用於日常教學工作 - 社交與情緒學習 SEL,3.25
我已將以下 KIST 教學特色運用於日常教學工作 - 品格鍛鍊,3.29
我已將以下 KIST 教學特色運用於日常教學工作 - 專題與探究學習 PBL,3.17
我已將以下 KIST 教學特色運用於日常教學工作 - 個人化學習,2.92
我已將以下 KIST 教學特色運用於日常教學工作 - 文化相關教育學 CRP,2.37
我已將以下 KIST 教學特色運用於日常教學工作 - 永續發展目標 SDGs,3.05
KIST 體系所提供的 [新進教師支持] 資源，對我在校工作的幫助程度是： - K Camp,3.11
KIST 體系所提供的 [新進教師支持] 資源，對我在校工作的幫助程度是： - 校內 Coach / Mentor 觀議課,3.36
KIST 體系所提供的 [新進教師支持] 資源，對我在校工作的幫助程度是： - 《New KISTer 導航》新進教師資源平台,3.12
KIST 體系所提供的 [新進教師支持] 資源，對我在校工作的幫助程度是： - New KISTer Line 群組,2.89
KIST 體系所提供的 [教學增能] 資源，對我在校教學工作的幫助程度是： - KIST 峰會（寒假）,3.28
KIST 體系所提供的 [教學增能] 資源，對我在校教學工作的幫助程度是： - KIST 共識營（暑假）,3.28
KIST 體系所提供的 [教學增能] 資源，對我在校教學工作的幫助程度是： - K:Time 共學：非認知能力、PBL、AI 增能與氧氣罩課程,3.22
KIST 體系所提供的 [教學增能] 資源，對我在校教學工作的幫助程度是： - K:Time 學科共備,3.13
KIST 體系所提供的 [教學增能] 資源，對我在校教學工作的幫助程度是： - 美國海外參訪,3.46
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - 聯盟顧問 / EDC 觀議課,3.39
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - KIST 教師風味手冊,2.97
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - 國 / 數教學流程指引,3.14
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - 自然 / 社會學思達講義,3.02
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - 非認知能力教學模組,3.23
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - NCDP 非認知能力平台,3.02
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - MEandMine SEL 教材,3.25
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - PBL 經典計畫,3.15
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - 《KIST 圖書館》資源平台,3.30
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - 《KIST 透可版》臉書社團,2.91
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - KIST 學伴計畫,3.24
KIST 體系所提供的 [教學支持] 資源，對我在校教學工作的幫助程度是： - KIST：H 學校家長團體方案,3.35
KIST 體系所提供的 [教師發展] 制度，對我發展教師生活 / 生涯的幫助程度是： - IDP / O3（制度與指標內容）,3.03
KIST 體系所提供的 [教師發展] 制度，對我發展教師生活 / 生涯的幫助程度是： - TDP 教師發展平台（平台介面與功能）,2.95
KIST 體系所提供的 [教師發展] 制度，對我發展教師生活 / 生涯的幫助程度是： - 受邀擔任對外分享者 / 講師,3.40
KIST 體系所提供的 [教師發展] 制度，對我發展教師生活 / 生涯的幫助程度是： - KIST 動滋券,3.59
KIST 體系所提供的 [教師發展] 制度，對我發展教師生活 / 生涯的幫助程度是： - KIST 講師認證辦法,2.98
KIST 體系所提供的 [教師發展] 制度，對我發展教師生活 / 生涯的幫助程度是： - 邁向正式教師之路,3.06
KIST 體系所提供的 [教師發展] 制度，對我發展教師生活 / 生涯的幫助程度是： - KIST 年度之星選拔,2.87
KIST 體系所提供的 [行政領導人發展] 資源，對我在校工作的幫助程度是： - 領導工坊,3.55
KIST 體系所提供的 [行政領導人發展] 資源，對我在校工作的幫助程度是： - LEAP 領導人躍昇計畫,3.48
KIST 體系所提供的 [行政領導人發展] 資源，對我在校工作的幫助程度是： - 每月國中 / 小月會,3.16
KIST 體系所提供的 [行政領導人發展] 資源，對我在校工作的幫助程度是： - 擔任聯盟培育計畫 Mentor（LEAP、K:star 等）,3.43
KIST 體系所提供的 [行政領導人發展] 資源，對我在校工作的幫助程度是： - 學校策略藍圖 SPTS,3.48
KIST 體系所提供的 [行政領導人發展] 資源，對我在校工作的幫助程度是： - KIST 領導職能模式,3.32
KIST 體系所提供的 [教學領導人發展] 資源，對我在校工作的幫助程度是： - 教練 / 教召工作坊,3.33
KIST 體系所提供的 [教學領導人發展] 資源，對我在校工作的幫助程度是： - 社群交流計畫回饋機制（與柱督＆國源校長對談）,2.77
KIST 體系所提供的 [教學領導人發展] 資源，對我在校工作的幫助程度是： - 教召一對一諮詢服務（與沙沙 / 彩凡對談）,1.62
KIST 體系所提供的 [教學領導人發展] 資源，對我在校工作的幫助程度是： - KIST 專業成長券（社群交流辦法）,2.83
KIST 體系所提供的 [教學領導人發展] 資源，對我在校工作的幫助程度是： - 擔任聯盟培育計畫 Mentor（LEAP、K:star 等）,2.89
