Q4_grouped,New_Column,Original_Column,N,Mean,SD,Median,Min,Max
1 年以下,Q5,我在加入 誠致「前」的工作年資,2,2.5,3.5355339059327378,2.5,0,5
1 年以下,Q6,我當初選擇加入誠致的原因 [期待自己能實際參與改變教育],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q7,我當初選擇加入誠致的原因 [能跟過去經驗有所連結],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q8,我當初選擇加入誠致的原因 [彈性自主的工作環境（彈性工時、工作地點）],2,2,0,2,2,2
1 年以下,Q9,我當初選擇加入誠致的原因 [能嘗試跨域專案，累積多元歷練],2,3,0,3,3,3
1 年以下,Q10,我當初選擇加入誠致的原因 [認同組織核心價值與文化],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q11,我當初選擇加入誠致的原因 [尋求理念一致的夥伴],2,3,0,3,3,3
1 年以下,Q12,我當初選擇加入誠致的原因 [薪資福利],2,2,1.4142135623730951,2,1,3
1 年以下,Q15,我認同 KIST 的願景：給孩子公平發展天賦的舞台,2,4,0,4,4,4
1 年以下,Q16,我理解且認同以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],2,4,0,4,4,4
1 年以下,Q17,我理解且認同以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],2,4,0,4,4,4
1 年以下,Q18,我理解且認同以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],2,4,0,4,4,4
1 年以下,Q19,我理解且認同以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q20,我理解且認同以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q21,我理解且認同以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],2,4,0,4,4,4
1 年以下,Q22,我有具體實踐以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q23,我有具體實踐以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],2,3,0,3,3,3
1 年以下,Q24,我有具體實踐以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],2,3,0,3,3,3
1 年以下,Q25,我有具體實踐以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],2,3,0,3,3,3
1 年以下,Q26,我有具體實踐以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],2,3,0,3,3,3
1 年以下,Q27,我有具體實踐以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],2,3,0,3,3,3
1 年以下,Q28,我理解以下 KIST 教學特色 [嚴謹教學循環（SEAMS）],2,1.5,0.7071067811865476,1.5,1,2
1 年以下,Q29,我理解以下 KIST 教學特色 [卓越教學架構],2,1.5,0.7071067811865476,1.5,1,2
1 年以下,Q30,我理解以下 KIST 教學特色 [社交與情緒學習 SEL],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q31,我理解以下 KIST 教學特色 [品格鍛鍊],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q32,我理解以下 KIST 教學特色 [個人化學習],2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q33,我理解以下 KIST 教學特色 [文化相關教育學 CRP],2,1.5,0.7071067811865476,1.5,1,2
1 年以下,Q34,我理解以下 KIST 教學特色 [專題與探究學習 PBL],2,3,0,3,3,3
1 年以下,Q35,我理解以下 KIST 教學特色 [永續發展目標 SDGs],2,3,1.4142135623730951,3,2,4
1 年以下,Q36,在我的工作場域，我們的語言與行動都有清楚回應 聯盟 的願景與發展目標,2,3,0,3,3,3
1 年以下,Q37,在我的工作場域，我們會為聯盟的願景與目標全力以赴,2,3,0,3,3,3
1 年以下,Q38,KIST 聯盟中有我視為導師的人,2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q39,我對身為 KIST 聯盟的一員感到驕傲,2,3,0,3,3,3
1 年以下,Q40,我會向合適的人才推薦 KIST 聯盟,2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q41,整體而言，我對於與 KIST 聯盟協作感到滿意,2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q46,我認同 組織 的使命願景：關懷弱勢，科學救國,1,4,NA,4,4,4
1 年以下,Q47,在我的工作場域，我們的語言與行動都有清楚回應 組織 的願景與發展目標,2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q48,我瞭解組織的相關動態（例如：重要活動日期、重大消息...等）,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q49,我清楚我的工作目標，以及組織對我工作成果的期望,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q50,我理解我的工作與組織目標的關聯性,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q51,我擁有做好我工作所需要的資源（包含：資料、資訊、設備...),2,3,0,3,3,3
1 年以下,Q52,在工作中，我有足夠的學習機會或資源，提升我工作所需的知識與技能,2,3,0,3,3,3
1 年以下,Q53,組織目前的協作方式或政策，能有效促進溝通效率和合作品質,2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q54,當我在組織與不同夥伴或組別合作時，過程是順暢的,2,3,0,3,3,3
1 年以下,Q55,在工作中，我覺得我的意見受到重視,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q56,工作遇到問題時，我知道如何從內部尋求諮詢與取得資源協助,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q57,我能在工作中建立有意義的人際關係,2,4,0,4,4,4
1 年以下,Q58,針對我的工作表現，我可以收到實用且及時的回饋,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q59,我的工作表現出色時，會收到正面肯定與回饋,2,4,0,4,4,4
1 年以下,Q60,組織中有關心我身心狀態與幸福感的人,2,4,0,4,4,4
1 年以下,Q61,對於與我個人或我工作攸關的決策中，我有機會理解決策的原委,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q62,我對組織的領導團隊有信心,2,3,0,3,3,3
1 年以下,Q63,我可以安心地和領導團隊溝通我的建議和想法（用愛心說真話）,2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q64,組織夥伴會為組織的願景與目標全力以赴,2,3,0,3,3,3
1 年以下,Q65,當環境或工作進展出現超出預期的變化時，我們能夠快速做出有效的回應，包含決策和行動的調整,2,3,0,3,3,3
1 年以下,Q66,我們在決策與執行的過程中，能充分納入內外部利害關係人的觀點,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q67,就算不一定會成功，我們仍被鼓勵持續突破與創新,2,4,0,4,4,4
1 年以下,Q68,在嘗試後如果結果不如預期，我們很可能會受到責難或處罰,2,1.5,0.7071067811865476,1.5,1,2
1 年以下,Q69,我們總是可以從失敗的經驗中學習,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q74,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [個人發展藍圖（職涯發展藍圖）],0,NA,NA,NA,Inf,-Inf
1 年以下,Q75,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [IDP & O3],2,3,0,3,3,3
1 年以下,Q76,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [增能課程],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q77,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [小後台圍圈],1,4,NA,4,4,4
1 年以下,Q78,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [相揪 KI 運動],2,4,0,4,4,4
1 年以下,Q79,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [動滋券],1,4,NA,4,4,4
1 年以下,Q80,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [專業成長券],1,4,NA,4,4,4
1 年以下,Q81,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [健康檢查],1,4,NA,4,4,4
1 年以下,Q82,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [諮商補助],1,4,NA,4,4,4
1 年以下,Q84,我覺得我的工作是有意義的,2,4,0,4,4,4
1 年以下,Q85,我覺得我在工作中持續成長,2,4,0,4,4,4
1 年以下,Q86,我覺得在目前工作上，成長最多的能力是？ [問題解決],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q87,我覺得在目前工作上，成長最多的能力是？ [分析與策略思維],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q88,我覺得在目前工作上，成長最多的能力是？ [專案與資源管理],2,4,0,4,4,4
1 年以下,Q89,我覺得在目前工作上，成長最多的能力是？ [自我覺察與自我成長],2,4,0,4,4,4
1 年以下,Q90,我覺得在目前工作上，成長最多的能力是？ [發展與輔導他人],2,3,0,3,3,3
1 年以下,Q91,我覺得在目前工作上，成長最多的能力是？ [溝通／引導],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q92,我覺得在目前工作上，成長最多的能力是？ [會議管理],2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q93,我覺得在目前工作上，成長最多的能力是？ [數據分析],2,3,1.4142135623730951,3,2,4
1 年以下,Q94,我覺得在目前工作上，成長最多的能力是？ [體驗設計],2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q96,組織內有我視為導師的人,2,3,0,3,3,3
1 年以下,Q97,目前的職涯發展機會對我有吸引力,2,2,1.4142135623730951,2,1,3
1 年以下,Q98,目前的薪資福利，能鼓勵我發揮最佳表現,2,2.5,0.7071067811865476,2.5,2,3
1 年以下,Q99,我希望自己未來能成為 誠致 領導人（例如：組長、經理、總監）,2,2.5,2.1213203435596424,2.5,1,4
1 年以下,Q100,我預計會在 誠致 持續任職,2,0.75,1.0606601717798212,0.75,0,1.5
1 年以下,Q101,如果有機會，我會考慮到 KIST 學校 服務,2,1.5,0.7071067811865476,1.5,1,2
1 年以下,Q103,我對身為 誠致 的一員感到驕傲,2,3.5,0.7071067811865476,3.5,3,4
1 年以下,Q104,整體而言，我對於在 誠致 工作的滿意度是：,2,8,1.4142135623730951,8,7,9
1 年以下,Q106,我會向合適的人才推薦 誠致,2,3,0,3,3,3
1-2 年,Q5,我在加入 誠致「前」的工作年資,7,2.7142857142857144,2.1957751641342,2.5,0,6
1-2 年,Q6,我當初選擇加入誠致的原因 [期待自己能實際參與改變教育],7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q7,我當初選擇加入誠致的原因 [能跟過去經驗有所連結],7,3.5714285714285716,0.7867957924694432,4,2,4
1-2 年,Q8,我當初選擇加入誠致的原因 [彈性自主的工作環境（彈性工時、工作地點）],7,3.5714285714285716,0.7867957924694432,4,2,4
1-2 年,Q9,我當初選擇加入誠致的原因 [能嘗試跨域專案，累積多元歷練],7,3.2857142857142856,0.48795003647426655,3,3,4
