New_Column,Original_Column,Value,Frequency,Percentage
Q2,我的組別,影響力發展,5,0.2777777777777778
Q2,我的組別,教學發展,5,0.2777777777777778
Q2,我的組別,營運發展,5,0.2777777777777778
Q2,我的組別,聯盟發展,2,0.1111111111111111
Q2,我的組別,領導發展,1,0.05555555555555555
Q3,我的職稱,專員,8,0.4444444444444444
Q3,我的職稱,經理,3,0.16666666666666666
Q3,我的職稱,其他,2,0.1111111111111111
Q3,我的職稱,助理,2,0.1111111111111111
Q3,我的職稱,資深專員,2,0.1111111111111111
Q3,我的職稱,副執行長,1,0.05555555555555555
Q14,我過往有在學校現場（不限定 KIST 學校）的教學經驗,沒有,12,0.6666666666666666
Q14,我過往有在學校現場（不限定 KIST 學校）的教學經驗,有,6,0.3333333333333333
Q108,最後，我還想說（非必填）,NA,13,0.7222222222222222
Q108,最後，我還想說（非必填）,希望大家健健康康 從 K10 一起看到 K20、K30 (?) 愛大家,1,0.05555555555555555
Q108,最後，我還想說（非必填）,無,1,0.05555555555555555
Q108,最後，我還想說（非必填）,謝謝 HR 朋朋設計的 ES，妳們很讚,1,0.05555555555555555
Q108,最後，我還想說（非必填）,謝謝大家成為工作夥伴，從這個表單裡也有感受到後台滿滿的誠意和希望了解大家的心情！,1,0.05555555555555555
Q108,最後，我還想說（非必填）,謝謝子馨芷瑄的規劃和設計，寫表單的過程也能幫助自己思考和反思，是很重要的歷程！,1,0.05555555555555555
