Q2,New_Column,Original_Column,N,Mean,SD,Median,Min,Max
影響力發展,Q4,我在 誠致 的總工作年資,5,1.8,1.2041594578792296,2.5,0.5,3
影響力發展,Q5,我在加入 誠致「前」的工作年資,5,1.7,2.0493901531919194,1.5,0,5
影響力發展,Q6,我當初選擇加入誠致的原因 [期待自己能實際參與改變教育],5,3.4,0.8944271909999159,4,2,4
影響力發展,Q7,我當初選擇加入誠致的原因 [能跟過去經驗有所連結],5,3.4,0.5477225575051661,3,3,4
影響力發展,Q8,我當初選擇加入誠致的原因 [彈性自主的工作環境（彈性工時、工作地點）],5,2.2,1.0954451150103321,2,1,4
影響力發展,Q9,我當初選擇加入誠致的原因 [能嘗試跨域專案，累積多元歷練],5,2.8,0.8366600265340756,3,2,4
影響力發展,Q10,我當初選擇加入誠致的原因 [認同組織核心價值與文化],5,3.4,0.5477225575051661,3,3,4
影響力發展,Q11,我當初選擇加入誠致的原因 [尋求理念一致的夥伴],5,2.8,1.0954451150103321,3,1,4
影響力發展,Q12,我當初選擇加入誠致的原因 [薪資福利],5,2.4,0.8944271909999159,3,1,3
影響力發展,Q15,我認同 KIST 的願景：給孩子公平發展天賦的舞台,5,4,0,4,4,4
影響力發展,Q16,我理解且認同以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],5,3.8,0.44721359549995793,4,3,4
影響力發展,Q17,我理解且認同以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],5,4,0,4,4,4
影響力發展,Q18,我理解且認同以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],5,3.8,0.44721359549995793,4,3,4
影響力發展,Q19,我理解且認同以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],5,3.8,0.44721359549995793,4,3,4
影響力發展,Q20,我理解且認同以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],5,3.8,0.44721359549995793,4,3,4
影響力發展,Q21,我理解且認同以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],5,4,0,4,4,4
影響力發展,Q22,我有具體實踐以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],5,3.2,0.8366600265340756,3,2,4
影響力發展,Q23,我有具體實踐以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],5,2.8,1.0954451150103321,3,1,4
影響力發展,Q24,我有具體實踐以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],5,3,0,3,3,3
影響力發展,Q25,我有具體實踐以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],5,3.2,0.44721359549995793,3,3,4
影響力發展,Q26,我有具體實踐以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],5,3.2,0.8366600265340756,3,2,4
影響力發展,Q27,我有具體實踐以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],5,3.2,0.44721359549995787,3,3,4
影響力發展,Q28,我理解以下 KIST 教學特色 [嚴謹教學循環（SEAMS）],5,2.2,1.0954451150103321,2,1,4
